True_Class,Pred_Class,True_Risk_pips,Pred_Risk_pips
2,2,0.54048294,0.24239732
2,2,0.5164784,0.22244759
2,1,0.45353463,0.22113897
2,2,0.4532876,0.24039221
1,2,0.41064677,0.23395753
0,1,0.4095188,0.2820795
0,0,0.29721394,0.28516695
0,1,0.17138818,0.28543872
0,2,0.17261651,0.25619313
0,1,0.19010693,0.2703666
0,1,0.20140861,0.25132632
1,2,0.14714815,0.23983723
0,1,0.14706342,0.24057019
0,2,0.14713801,0.22624217
1,2,0.14709565,0.22185701
0,1,0.14329785,0.21661095
1,1,0.14332387,0.20811042
1,1,0.14335167,0.20416437
0,1,0.14333822,0.20807971
0,0,0.13767467,0.21780244
2,1,0.11772884,0.1914939
2,1,0.117751695,0.14810722
2,1,0.11460349,0.14939556
2,1,0.11461641,0.14798006
2,2,0.11463795,0.15445533
2,1,0.09645618,0.14964603
0,1,0.09078501,0.16233769
1,1,0.09455643,0.14417218
1,1,0.09452506,0.14842352
2,1,0.10143512,0.14900345
1,2,0.10835729,0.15642855
2,1,0.108329475,0.15435007
1,1,0.10890928,0.16938816
1,0,0.10892291,0.18864515
1,0,0.118305415,0.19380958
0,0,0.51766765,0.18867554
0,1,0.517726,0.18224183
0,1,0.5177357,0.16993564
0,1,0.51794326,0.13956845
0,2,0.51793027,0.15308109
0,2,0.5177487,0.14641085
0,1,0.5175543,0.15675117
0,1,0.5178427,0.1548454
0,1,0.51766443,0.16495165
0,1,0.51755106,0.17567478
0,1,0.5175478,0.17913815
0,1,0.50443727,0.18740678
2,2,0.27785966,0.16877788
1,1,0.27755502,0.22462328
2,1,0.15553172,0.22850804
2,0,0.15482593,0.25807863
2,0,0.15477549,0.24435106
2,0,0.17915647,0.26684535
2,0,0.19735111,0.26401246
2,0,0.23502426,0.24586758
2,1,0.24143986,0.22200334
2,1,0.21060285,0.23718236
2,1,0.229434,0.20145015
2,1,0.2268867,0.19047225
2,1,0.19236432,0.19600187
2,1,0.16851786,0.1980923
2,1,0.16850731,0.19040924
2,1,0.15851833,0.17639142
2,2,0.11084878,0.17267932
2,2,0.107075766,0.16942237
1,2,0.10706169,0.16257843
1,1,0.10700876,0.1740452
2,1,0.10705096,0.16976167
1,1,0.080724895,0.17852366
2,1,0.09764097,0.15513508
2,1,0.09825088,0.16186279
2,1,0.115196556,0.15735888
2,1,0.112013616,0.17384917
2,1,0.112014316,0.17844938
2,1,0.11202834,0.16923183
1,1,0.11204026,0.13636042
2,1,0.11203115,0.13064943
2,1,0.12395297,0.13269824
2,1,0.10451152,0.13629295
2,1,0.103887,0.13056883
2,1,0.102627,0.1330994
1,1,0.1025872,0.12242646
1,1,0.10259939,0.122546084
1,1,0.10257565,0.13196379
1,1,0.10257116,0.13496216
1,1,0.10258976,0.13362372
2,1,0.12385605,0.13215736
2,1,0.12389713,0.13397501
2,1,0.10256924,0.1222254
2,1,0.11442149,0.1368641
2,1,0.16265045,0.13088301
2,1,0.15569799,0.1489115
2,1,0.17949279,0.14126845
2,1,0.17951412,0.1437301
2,1,0.17950514,0.14126024
2,1,0.17949392,0.14129898
2,1,0.1794883,0.14286949
2,1,0.15196712,0.1398677
2,1,0.15191108,0.1524906
2,2,0.14506075,0.18642902
1,2,0.13625512,0.17027213
0,1,0.17998426,0.16684426
0,1,0.17991567,0.17989442
0,1,0.259247,0.17562723
0,1,0.29233557,0.17394333
0,1,0.29229173,0.17925476
0,0,0.2922589,0.19582826
0,0,0.292268,0.1955244
0,0,0.27670205,0.1947806
0,1,0.2642792,0.17420512
0,1,0.324933,0.15778896
0,0,0.3611868,0.2480484
0,0,0.32623369,0.2635678
0,0,0.27142644,0.24689235
0,0,0.28958675,0.25236094
0,1,0.28986597,0.22443533
0,1,0.2898061,0.23544529
0,0,0.28971905,0.26226768
0,0,0.2897662,0.26071256
0,0,0.2898079,0.2544256
0,0,0.28958133,0.29329038
0,0,0.22527455,0.26935953
0,1,0.12714438,0.23869261
2,1,0.12410447,0.2030561
2,1,0.12408892,0.20894076
2,1,0.12412081,0.20242247
2,1,0.12847106,0.21481627
2,1,0.13408186,0.21900716
2,1,0.1434936,0.21299578
1,1,0.15221177,0.21654287
2,1,0.15229572,0.19766968
2,1,0.1948646,0.20082527
